dev_id,stt_no,lon,lat,dev_purpose,manufacturer,dev_model,depoist_date,trans_method,ip,power,sampling_period,measure_period,upload_period,base_elev,culvert_depth,dev_depth1,dev_depth2,alarm1,alarm2,alarm3,desc
FL000001,67000-000161,120.25041,22.96679,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
FL000002,67000-000162,120.266044,23.000247,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
FL000003,67000-000163,120.21381,23.03638,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
FL000004,67000-000164,120.18938,23.24266,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
SW000001,67000-000001,120.197863,23.055091,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,600,-0.298,1.96,NULL,NULL,2.332,1.942,0.962,
SW000002,67000-000002,120.20386,23.03728,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,600,-0.878,2.73,NULL,NULL,2.352,1.852,0.487,
SW000003,67000-000003,120.25036,22.96673,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,600,4.17,1.4,NULL,NULL,5.95,5.57,4.87,
SW000004,67000-000004,120.22023,22.92364,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,600,0.831,1.8,NULL,NULL,3.541,2.631,1.731,
SW000005,67000-000005,120.21766,22.91453,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,600,1.331,1.98,NULL,NULL,3.551,3.311,2.321,
SW000006,67000-000006,120.24195,22.96229,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,600,3.468,1.99,NULL,NULL,6.228,5.458,4.463,
SW000007,67000-000007,120.25137,22.9865,雨水下水道,開創水資源科技股份有限公司,,,,,,NULL,NULL,600,3.214,1.89,NULL,NULL,6.714,5.714,4.769,
