stt_name,stt_no,county_code,urban_plan,pipe_num,manhole_num,manhole_depth,manhole_lev,lon,lat,depoist_date,manager,addr,Pic_url,ref_dev_id,stt_purpose,IsAlert,desc
安南區-正28,67000-000001,67000350,NULL,NULL,3151,2.3,2.21,120.197863,23.055091,20230425,台南市政府水利局,本原街一段250巷101號前,NULL,SW000001,雨水下水道監測,0,NULL
安南區-正37,67000-000002,67000350,,,Q027 ,3.23,2.496,120.20386,23.03728,20230425,台南市政府水利局,安中二街、北安三街交叉口,,SW000024,雨水下水道監測,0,NULL
仁德區-正03,67000-000003,67000270,NULL,NULL,NULL,1.61,5.418,120.251418,22.966895,20230504,台南市政府水利局,仁德四街、仁德三街交叉口,NULL,SW000024,雨水下水道監測,0,NULL
仁德區-正09,67000-000004,67000270,,,2124226-01 ,2.71,3.595,120.22023,22.92364,20230504,台南市政府水利局,中正西路202巷、二仁路一段315巷交叉口,,SW000024,雨水下水道監測,0,NULL
仁德區-正08,67000-000005,67000270,NULL,NULL,67-8040202-01,2.22,3.551,120.21766,22.91453,20230503,台南市政府水利局,行大一街與行大街271巷口,NULL,SW000001,雨水下水道監測,0,NULL
仁德區-正10,67000-000006,67000270,NULL,NULL,NULL,2.76,6.228,120.24195,22.96229,20230503,台南市政府水利局,文華街一段26號前,NULL,SW000001,雨水下水道監測,0,NULL
仁德區-正06,67000-000007,67000270,NULL,NULL,2164238-F5,2.98,6.76,120.25137,22.9865,20230503,台南市政府水利局,大發路與大順路交叉口,NULL,SW000001,雨水下水道監測,0,NULL
仁德區-正18,67000-000008,67000270,,,,2.4,7.756,120.25442,22.96819,20230504,台南市政府水利局,仁義路與仁義路70巷交叉口,,SW000024,雨水下水道監測,0,NULL
仁德區-正04,67000-000009,67000270,,,I4,2.84,10.18,120.24385,22.97374,20230504,台南市政府水利局,中山路與文華路三段交叉口,,SW000024,雨水下水道監測,0,NULL
仁德區-正01,67000-000010,67000270,NULL,NULL,785,2.27,6.66,120.248263,22.975382,20230505,台南市政府水利局,文德路與文山路交叉口,NULL,SW000001,雨水下水道監測,0,NULL
仁德區-正05,67000-000011,67000270,NULL,NULL,U1-6N-1,2.35,7.75,120.256193,22.974283,20230505,台南市政府水利局,正義三街與中清路交叉口,NULL,SW000001,雨水下水道監測,0,NULL
仁德區-正12,67000-000012,67000270,NULL,NULL,NULL,1.54,6.351,120.250989,22.980975,20230505,台南市政府水利局,太乙六街50號前,NULL,SW000001,雨水下水道監測,0,NULL
仁德區-正07,67000-000013,67000270,NULL,NULL,890,2.99,7.307,120.25519,22.99147,20230505,台南市政府水利局,太子路394號前(由太子路與長興五街口移至此),NULL,SW000001,雨水下水道監測,0,NULL
仁德區-正17,67000-000014,67000270,,,,3.63,6.902,120.24863,22.99072,20230508,台南市政府水利局,太子路735號旁,,SW000024,雨水下水道監測,0,NULL
永康區-正-01,67000-000015,67000310,,,YE14-1,2.84,22,120.25172,23.02925,20230724,台南市政府水利局,正強街221號前,,SW000024,雨水下水道監測,0,NULL
安南區-正22,67000-000016,67000350,,,,4.12,2.16,120.21644,23.03303,20230508,台南市政府水利局,安和路一段288巷150弄5號前,,SW000024,雨水下水道監測,0,NULL
安南區-正38,67000-000017,67000350,,,3947,3.94,2.52,120.21376,23.03627,20230508,台南市政府水利局,安和路二段6號前,,SW000024,雨水下水道監測,0,NULL
永康區-正16,67000-000018,67000310,NULL,NULL,1894,2.09,6,120.26685,23.05587,20230720,台南市政府水利局,和平東路100號前,NULL,SW000001,雨水下水道監測,0,NULL
安南區-正24,67000-000019,67000350,NULL,NULL,AF09-2,1.85,2.8,120.21085,23.03537,20230509,台南市政府水利局,長溪路一段117號前,NULL,SW000001,雨水下水道監測,0,NULL
安南區-正02,67000-000020,67000350,NULL,NULL,AF09-8 ,1.75,3.349,120.20688,23.03915,20230509,台南市政府水利局,長溪路一段340號前,NULL,SW000001,雨水下水道監測,0,NULL
安南區-正23,67000-000021,67000350,,,Q032,2.4,2.257,120.20438,23.03784,20230509,台南市政府水利局,安中路一段與安中路一段372巷交叉口,,SW000024,雨水下水道監測,0,NULL
安南區-正29,67000-000022,67000350,NULL,NULL,Q029C ,2.75,2.94,120.20321,23.04213,20230509,台南市政府水利局,北安路三段195號前(分隔島上),NULL,SW000001,雨水下水道監測,0,NULL
安南區-正01,67000-000023,67000350,,,Q029-2,1.88,6.5,120.20329,23.03595,20230509,台南市政府水利局,北安路二段363號(加油站)前中央分隔島旁,,SW000024,雨水下水道監測,0,NULL
安南區-正07,67000-000024,67000350,NULL,NULL,G302020367351-010,2.43,2.43,120.19258,23.040544,20230510,台南市政府水利局,安南區同安路大安街口,NULL,SW000001,雨水下水道監測,0,NULL
