Date	Time	YD-10	YD-9	YD-8	YD-7	YD-6	YD-5	YD-4	YD-3	YD-2	YD-1	
08/16/2024	12:00:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	12:10:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	12:20:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	12:30:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	12:40:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	12:50:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	13:00:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	13:10:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	13:20:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	13:30:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	13:40:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	13:50:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	14:00:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	14:10:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	14:20:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	14:30:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	14:40:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	14:50:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	15:00:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	15:10:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	15:20:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	15:30:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	15:40:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	15:50:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	16:00:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	16:10:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	16:20:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	16:30:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	16:40:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	16:50:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	17:00:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	17:10:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	17:20:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	17:30:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	17:40:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	17:50:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	18:00:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	18:10:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	18:20:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	18:30:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	18:40:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	18:50:00	5.63	5.4	5.23	5.06	4.38	4.51	4.48	4.43	4.38	4.34	
08/16/2024	19:00:00	5.99	5.8	5.62	5.37	4.79	4.72	4.56	4.54	4.48	4.42	
08/16/2024	19:10:00	6.32	6.14	5.98	5.77	5.53	5.46	5.38	5.22	5.06	4.87	
08/16/2024	19:20:00	6.52	6.36	6.22	6.08	5.88	5.81	5.72	5.54	5.35	5.14	
08/16/2024	19:30:00	6.13	5.95	5.8	5.6	5.42	5.39	5.34	5.24	5.1	4.94	
08/16/2024	19:40:00	6	5.81	5.65	5.45	5.12	5.09	5.04	4.95	4.84	4.7	
08/16/2024	19:50:00	5.91	5.7	5.55	5.36	4.96	4.94	4.91	4.83	4.73	4.61	
08/16/2024	20:00:00	5.85	5.64	5.48	5.29	4.85	4.83	4.8	4.73	4.65	4.54	
08/16/2024	20:10:00	5.81	5.59	5.44	5.25	4.77	4.76	4.73	4.67	4.6	4.49	
08/16/2024	20:20:00	5.78	5.56	5.41	5.22	4.72	4.71	4.68	4.62	4.56	4.46	
08/16/2024	20:30:00	5.85	5.64	5.47	5.26	4.75	4.73	4.69	4.62	4.56	4.46	
08/16/2024	20:40:00	5.84	5.63	5.47	5.28	4.8	4.78	4.75	4.68	4.6	4.49	
08/16/2024	20:50:00	5.85	5.63	5.48	5.28	4.79	4.78	4.74	4.67	4.6	4.49	
08/16/2024	21:00:00	5.82	5.61	5.46	5.26	4.78	4.77	4.73	4.67	4.6	4.49	
